Pavarde           Vardas            Galutinis vid.  Galutinis med.  
Pavarde61419      Vardas49753       2.12            1.80
Pavarde41931      Vardas45236       2.12            1.80
Pavarde53892      Vardas61516       2.12            1.40
Pavarde99734      Vardas97499       2.12            1.80
Pavarde25505      Vardas43373       2.12            1.80
Pavarde36369      Vardas85310       2.12            1.40
Pavarde54654      Vardas18015       2.12            2.20
Pavarde93227      Vardas43156       2.12            1.80
Pavarde14722      Vardas57200       2.12            1.80
Pavarde21875      Vardas60187       2.12            1.80
Pavarde63013      Vardas50330       2.12            1.40
Pavarde90353      Vardas74751       2.12            1.80
Pavarde10496      Vardas6374        2.12            1.80
Pavarde42284      Vardas62860       2.12            1.80
Pavarde17757      Vardas59574       2.12            1.80
Pavarde47175      Vardas1961        2.12            2.20
Pavarde96194      Vardas34838       2.12            1.80
Pavarde37189      Vardas66400       2.12            1.40
Pavarde96995      Vardas21189       2.12            1.80
Pavarde1629       Vardas95232       2.12            1.40
Pavarde37213      Vardas33097       2.12            1.80
Pavarde98860      Vardas49143       2.12            1.40
Pavarde1287       Vardas70879       2.12            1.40
Pavarde10309      Vardas19708       2.12            1.80
Pavarde33036      Vardas8957        2.12            1.80
Pavarde17682      Vardas638         2.12            1.80
Pavarde23445      Vardas883         2.12            1.40
Pavarde80488      Vardas93309       2.12            1.80
Pavarde6318       Vardas13841       2.12            1.80
Pavarde6452       Vardas71873       2.12            1.80
Pavarde23463      Vardas41552       2.12            1.80
Pavarde95441      Vardas81666       2.12            1.80
Pavarde63354      Vardas63611       2.12            1.80
Pavarde95597      Vardas5266        2.12            1.80
Pavarde63460      Vardas53728       2.12            1.80
Pavarde32084      Vardas35769       2.12            1.80
Pavarde21675      Vardas39344       2.12            1.80
Pavarde989        Vardas87676       2.12            1.80
Pavarde95561      Vardas42770       2.12            1.40
Pavarde83280      Vardas87788       2.12            1.80
Pavarde57705      Vardas31778       2.12            1.80
Pavarde65993      Vardas30332       2.12            1.40
Pavarde16949      Vardas47603       2.12            1.80
Pavarde52963      Vardas36532       2.12            1.80
Pavarde57777      Vardas33545       2.12            1.80
Pavarde98535      Vardas94417       2.12            2.20
Pavarde60677      Vardas66140       2.12            1.80
Pavarde67035      Vardas65986       2.12            1.40
Pavarde682        Vardas56307       2.12            2.20
Pavarde20983      Vardas76610       2.12            1.80
Pavarde70607      Vardas83551       2.12            1.80
Pavarde58266      Vardas96444       2.12            2.20
Pavarde84987      Vardas15250       2.12            1.40
Pavarde99106      Vardas64048       2.12            1.40
Pavarde76853      Vardas75221       2.12            1.40
Pavarde88893      Vardas64660       2.12            1.80
Pavarde1651       Vardas99534       2.12            1.80
Pavarde11805      Vardas8944        2.12            1.80
Pavarde21035      Vardas58741       2.12            1.40
Pavarde60211      Vardas8941        2.12            1.40
Pavarde8420       Vardas84713       2.12            1.40
Pavarde90149      Vardas7723        2.12            1.80
Pavarde89287      Vardas79517       2.12            1.80
Pavarde14704      Vardas23653       2.12            1.80
Pavarde25016      Vardas78341       2.12            1.40
Pavarde30307      Vardas20316       2.12            1.40
Pavarde39891      Vardas800         2.12            1.80
Pavarde79371      Vardas33475       2.12            1.80
Pavarde19554      Vardas1947        2.12            1.80
Pavarde41876      Vardas30450       2.12            1.80
Pavarde8147       Vardas4827        2.12            1.80
Pavarde44605      Vardas56238       2.12            1.40
Pavarde86220      Vardas32868       2.12            2.20
Pavarde96972      Vardas66053       2.12            2.20
Pavarde82970      Vardas38610       2.12            1.80
Pavarde75175      Vardas12709       2.12            1.80
Pavarde84838      Vardas62815       2.12            1.80
Pavarde12723      Vardas6880        2.12            2.20
Pavarde47609      Vardas30295       2.12            2.20
Pavarde92199      Vardas13685       2.12            2.20
Pavarde80882      Vardas1594        2.12            1.80
Pavarde85601      Vardas21593       2.12            2.20
Pavarde24455      Vardas3489        2.12            1.80
Pavarde39087      Vardas89219       2.12            1.80
Pavarde12845      Vardas47448       2.12            1.40
Pavarde67297      Vardas91488       2.12            1.80
Pavarde11951      Vardas5832        2.12            1.80
Pavarde36002      Vardas69911       2.12            1.80
Pavarde68933      Vardas51283       2.16            2.20
Pavarde10242      Vardas29311       2.16            1.80
Pavarde37828      Vardas58695       2.16            1.80
Pavarde37347      Vardas6054        2.16            2.20
Pavarde62729      Vardas15129       2.16            1.80
Pavarde28711      Vardas56326       2.16            1.80
Pavarde81615      Vardas11543       2.16            1.80
Pavarde27761      Vardas88974       2.16            2.20
Pavarde31781      Vardas77646       2.16            1.80
Pavarde37084      Vardas17722       2.16            1.80
Pavarde97865      Vardas69510       2.16            2.20
Pavarde80512      Vardas42834       2.16            2.20
Pavarde29796      Vardas51257       2.16            1.80
Pavarde71588      Vardas71680       2.16            1.80
Pavarde91433      Vardas36611       2.16            1.80
Pavarde4761       Vardas30489       2.16            2.20
Pavarde19033      Vardas19893       2.16            2.20
Pavarde80388      Vardas95666       2.16            1.80
Pavarde37591      Vardas99650       2.16            1.80
Pavarde3524       Vardas99915       2.16            1.40
Pavarde15020      Vardas54487       2.16            2.20
Pavarde98971      Vardas54194       2.16            1.80
Pavarde41826      Vardas88285       2.16            1.80
Pavarde40599      Vardas53804       2.16            1.40
Pavarde44820      Vardas95229       2.16            1.80
Pavarde3221       Vardas4564        2.16            1.80
Pavarde54543      Vardas14849       2.16            1.80
Pavarde58010      Vardas67663       2.16            1.80
Pavarde22826      Vardas7820        2.16            1.80
Pavarde70022      Vardas70484       2.16            1.80
Pavarde16282      Vardas61704       2.16            1.80
Pavarde19672      Vardas87814       2.16            1.80
Pavarde59766      Vardas96670       2.16            1.80
Pavarde56980      Vardas9703        2.16            1.80
Pavarde41106      Vardas40166       2.16            1.80
Pavarde73359      Vardas41215       2.16            1.80
Pavarde11456      Vardas19732       2.16            1.80
Pavarde1173       Vardas95078       2.16            2.20
Pavarde99214      Vardas11330       2.16            2.20
Pavarde46135      Vardas73190       2.16            1.80
Pavarde14801      Vardas69773       2.16            1.40
Pavarde48293      Vardas19561       2.16            1.80
Pavarde10897      Vardas91282       2.16            2.20
Pavarde47616      Vardas52495       2.16            1.80
Pavarde88703      Vardas79220       2.16            1.80
Pavarde85545      Vardas39919       2.16            1.40
Pavarde67826      Vardas69936       2.16            1.80
Pavarde35482      Vardas13872       2.16            1.80
Pavarde75592      Vardas51319       2.16            1.80
Pavarde26699      Vardas52827       2.16            1.80
Pavarde69136      Vardas79552       2.16            1.80
Pavarde48286      Vardas4460        2.16            1.40
Pavarde63286      Vardas63796       2.16            1.80
Pavarde91618      Vardas98737       2.16            2.20
Pavarde31773      Vardas38440       2.16            1.40
Pavarde75660      Vardas89513       2.16            1.80
Pavarde9753       Vardas34179       2.16            1.80
Pavarde22839      Vardas92146       2.16            1.80
Pavarde76157      Vardas17713       2.16            1.80
Pavarde64614      Vardas86252       2.16            1.80
Pavarde12952      Vardas25599       2.16            1.40
Pavarde531        Vardas93626       2.16            1.80
Pavarde34613      Vardas61557       2.16            2.20
Pavarde39398      Vardas67126       2.16            1.80
Pavarde31784      Vardas53167       2.16            1.40
Pavarde12836      Vardas93424       2.16            1.80
Pavarde8831       Vardas67000       2.16            1.80
Pavarde66647      Vardas35164       2.16            1.40
Pavarde23589      Vardas85196       2.16            1.80
Pavarde81456      Vardas50308       2.16            1.80
Pavarde84828      Vardas24020       2.16            2.20
Pavarde96935      Vardas50553       2.16            1.80
Pavarde93481      Vardas9949        2.16            1.80
Pavarde62549      Vardas64926       2.16            2.20
Pavarde25871      Vardas88540       2.16            2.20
Pavarde52070      Vardas40988       2.16            2.00
Pavarde32072      Vardas96174       2.16            1.80
Pavarde51821      Vardas11124       2.16            1.80
Pavarde96736      Vardas26395       2.16            1.80
Pavarde9052       Vardas53683       2.16            2.00
Pavarde53641      Vardas27374       2.16            1.80
Pavarde23091      Vardas54773       2.16            2.20
Pavarde63855      Vardas63468       2.16            2.20
Pavarde74409      Vardas90911       2.16            1.40
Pavarde48765      Vardas80354       2.16            1.40
Pavarde78907      Vardas58864       2.16            1.80
Pavarde776        Vardas78185       2.16            1.80
Pavarde91716      Vardas72907       2.16            2.20
Pavarde28450      Vardas88623       2.16            1.80
Pavarde75605      Vardas67771       2.16            2.20
Pavarde90383      Vardas56193       2.16            2.20
Pavarde90838      Vardas77411       2.16            2.20
Pavarde3198       Vardas6891        2.16            1.80
Pavarde68898      Vardas37782       2.16            2.20
Pavarde4976       Vardas22950       2.16            1.80
Pavarde37692      Vardas28105       2.16            1.80
Pavarde40667      Vardas15110       2.16            2.20
Pavarde2916       Vardas3166        2.16            1.80
Pavarde67833      Vardas58661       2.16            1.80
Pavarde22831      Vardas42557       2.16            1.80
Pavarde23687      Vardas87766       2.16            1.40
Pavarde28937      Vardas63431       2.16            1.40
Pavarde97723      Vardas2345        2.16            1.80
Pavarde11390      Vardas69766       2.16            1.80
Pavarde66508      Vardas37580       2.20            1.80
Pavarde98345      Vardas179         2.20            2.20
Pavarde16578      Vardas92098       2.20            2.20
Pavarde11687      Vardas65625       2.20            1.80
Pavarde80042      Vardas14887       2.20            1.80
Pavarde4756       Vardas75895       2.20            2.20
Pavarde15594      Vardas68630       2.20            1.80
Pavarde16893      Vardas34953       2.20            1.80
Pavarde25620      Vardas24927       2.20            1.40
Pavarde83788      Vardas28191       2.20            1.40
Pavarde67380      Vardas64920       2.20            1.40
Pavarde4062       Vardas69010       2.20            1.40
Pavarde61603      Vardas15272       2.20            1.40
Pavarde39810      Vardas6715        2.20            2.20
Pavarde28134      Vardas98768       2.20            1.80
Pavarde72724      Vardas57638       2.20            1.80
Pavarde5554       Vardas75335       2.20            1.80
Pavarde65910      Vardas72483       2.20            2.20
Pavarde35818      Vardas52102       2.20            2.20
Pavarde37177      Vardas82870       2.20            2.20
Pavarde51529      Vardas50282       2.20            1.80
Pavarde76027      Vardas98997       2.20            2.20
Pavarde24910      Vardas42563       2.20            2.20
Pavarde13484      Vardas69213       2.20            1.40
Pavarde32383      Vardas55761       2.20            2.20
Pavarde37708      Vardas36126       2.20            1.80
Pavarde52102      Vardas59987       2.20            1.80
Pavarde87069      Vardas2356        2.20            2.20
Pavarde99227      Vardas34410       2.20            1.80
Pavarde79849      Vardas32071       2.20            2.20
Pavarde47515      Vardas70739       2.20            2.20
Pavarde33199      Vardas26219       2.20            2.20
Pavarde82534      Vardas14000       2.20            1.80
Pavarde80285      Vardas29292       2.20            2.20
Pavarde13652      Vardas1816        2.20            2.20
Pavarde58854      Vardas67086       2.20            1.80
Pavarde6659       Vardas49940       2.20            2.20
Pavarde33471      Vardas6946        2.20            1.40
Pavarde6136       Vardas7296        2.20            2.20
Pavarde46776      Vardas87809       2.20            1.80
Pavarde57809      Vardas25346       2.20            1.40
Pavarde72334      Vardas77844       2.20            1.40
Pavarde56616      Vardas77409       2.20            2.20
Pavarde30364      Vardas91855       2.20            1.80
Pavarde57091      Vardas19467       2.20            2.20
Pavarde83558      Vardas60149       2.20            1.80
Pavarde4882       Vardas34351       2.20            1.80
Pavarde70598      Vardas70579       2.20            1.80
Pavarde26018      Vardas16294       2.20            1.80
Pavarde84610      Vardas3207        2.20            2.20
Pavarde66346      Vardas10869       2.20            2.20
Pavarde52269      Vardas5323        2.20            1.80
Pavarde76543      Vardas71401       2.20            1.40
Pavarde33873      Vardas69286       2.20            2.20
Pavarde52897      Vardas18419       2.20            1.80
Pavarde6532       Vardas18518       2.20            1.80
Pavarde74743      Vardas94838       2.20            2.20
Pavarde9641       Vardas84945       2.20            1.80
Pavarde80365      Vardas49260       2.20            2.20
Pavarde57715      Vardas16          2.20            2.20
Pavarde80440      Vardas196         2.20            2.20
Pavarde95989      Vardas84932       2.20            1.80
Pavarde85649      Vardas41680       2.20            1.40
Pavarde5959       Vardas13984       2.20            1.80
Pavarde30248      Vardas2460        2.20            2.20
Pavarde4221       Vardas46549       2.20            2.20
Pavarde16962      Vardas94757       2.20            1.80
Pavarde9511       Vardas79263       2.20            2.20
Pavarde46596      Vardas5281        2.20            1.80
Pavarde49488      Vardas97990       2.20            1.40
Pavarde96478      Vardas48756       2.20            1.80
Pavarde29044      Vardas66781       2.20            1.40
Pavarde84332      Vardas48327       2.20            1.80
Pavarde64886      Vardas7983        2.20            1.80
Pavarde22517      Vardas4304        2.20            1.80
Pavarde44361      Vardas48592       2.20            1.80
Pavarde13852      Vardas77603       2.20            1.80
Pavarde82869      Vardas88900       2.20            1.80
Pavarde62448      Vardas8668        2.20            1.80
Pavarde69326      Vardas34831       2.20            1.80
Pavarde71040      Vardas99009       2.20            2.20
Pavarde21206      Vardas86886       2.20            1.80
Pavarde87907      Vardas23931       2.20            2.20
Pavarde46092      Vardas12403       2.20            1.80
Pavarde79017      Vardas49403       2.20            1.80
Pavarde28734      Vardas53321       2.20            1.80
Pavarde65003      Vardas24769       2.20            1.80
Pavarde41987      Vardas84917       2.20            2.20
Pavarde93271      Vardas41246       2.20            2.20
Pavarde97656      Vardas11978       2.20            1.80
Pavarde55790      Vardas56536       2.20            1.80
Pavarde63371      Vardas97932       2.20            1.80
Pavarde40747      Vardas83204       2.20            1.80
Pavarde36736      Vardas82055       2.20            2.20
Pavarde52565      Vardas50015       2.20            2.00
Pavarde37603      Vardas96710       2.20            2.20
Pavarde83856      Vardas23848       2.20            1.80
Pavarde35744      Vardas27706       2.20            1.80
Pavarde34293      Vardas26612       2.20            1.80
Pavarde8083       Vardas12984       2.20            1.80
Pavarde29192      Vardas15621       2.20            1.80
Pavarde88237      Vardas19588       2.20            1.80
Pavarde72036      Vardas70068       2.20            1.80
Pavarde70218      Vardas64177       2.20            2.20
Pavarde46414      Vardas10458       2.20            1.80
Pavarde7477       Vardas74033       2.20            2.20
Pavarde39505      Vardas40565       2.20            1.40
Pavarde32451      Vardas383         2.20            1.40
Pavarde91754      Vardas93417       2.20            2.20
Pavarde9814       Vardas78882       2.20            2.20
Pavarde6231       Vardas16328       2.20            2.20
Pavarde38558      Vardas76998       2.24            2.20
Pavarde72440      Vardas15808       2.24            1.80
Pavarde9142       Vardas86950       2.24            1.80
Pavarde21360      Vardas74224       2.24            1.40
Pavarde84285      Vardas43989       2.24            2.20
Pavarde66259      Vardas31731       2.24            2.20
Pavarde30688      Vardas97775       2.24            1.80
Pavarde40939      Vardas71881       2.24            2.20
Pavarde5989       Vardas5725        2.24            2.20
Pavarde70788      Vardas64213       2.24            1.40
Pavarde40842      Vardas93307       2.24            1.80
Pavarde80739      Vardas53687       2.24            1.80
Pavarde34940      Vardas9303        2.24            1.40
Pavarde41763      Vardas50401       2.24            2.20
Pavarde82761      Vardas392         2.24            1.80
Pavarde49530      Vardas30141       2.24            1.40
Pavarde65971      Vardas10167       2.24            1.80
Pavarde1931       Vardas74550       2.24            2.20
Pavarde19394      Vardas37255       2.24            2.20
Pavarde35679      Vardas12825       2.24            1.40
Pavarde51776      Vardas91154       2.24            2.20
Pavarde38613      Vardas14950       2.24            1.80
Pavarde16826      Vardas79620       2.24            2.20
Pavarde73893      Vardas98509       2.24            1.80
Pavarde40497      Vardas83959       2.24            1.80
Pavarde68427      Vardas6466        2.24            1.80
Pavarde29098      Vardas83971       2.24            1.80
Pavarde55254      Vardas67615       2.24            1.80
Pavarde58586      Vardas74607       2.24            1.80
Pavarde25617      Vardas13556       2.24            1.80
Pavarde42695      Vardas16473       2.24            1.80
Pavarde32658      Vardas90040       2.24            2.20
Pavarde71934      Vardas44488       2.24            2.20
Pavarde50085      Vardas75213       2.24            1.80
Pavarde37617      Vardas66597       2.24            1.80
Pavarde88612      Vardas3576        2.24            1.80
Pavarde58878      Vardas55358       2.24            2.40
