Pavarde           Vardas            Galutinis vid.  Galutinis med.  
Pavarde1925       Vardas16590       5.00            4.60
Pavarde72402      Vardas57727       5.00            5.00
Pavarde36341      Vardas36221       5.00            5.20
Pavarde28590      Vardas43712       5.00            5.20
Pavarde82635      Vardas47119       5.00            5.00
Pavarde14069      Vardas94127       5.00            4.80
Pavarde81127      Vardas91744       5.00            4.60
Pavarde65638      Vardas70258       5.00            4.60
Pavarde67416      Vardas41364       5.00            4.60
Pavarde12340      Vardas28669       5.00            4.80
Pavarde58743      Vardas44951       5.00            5.20
Pavarde29779      Vardas68964       5.00            5.20
Pavarde84734      Vardas77500       5.00            5.00
Pavarde15291      Vardas6457        5.00            5.00
Pavarde76982      Vardas93916       5.00            5.00
Pavarde30297      Vardas87606       5.00            4.60
Pavarde91134      Vardas36700       5.00            5.00
Pavarde69366      Vardas62779       5.00            5.40
Pavarde98993      Vardas97458       5.00            5.00
Pavarde68808      Vardas75934       5.00            4.60
Pavarde59109      Vardas73381       5.00            5.00
Pavarde25617      Vardas65828       5.00            4.80
Pavarde72461      Vardas77636       5.00            4.60
Pavarde18507      Vardas6636        5.00            4.80
Pavarde9124       Vardas95048       5.00            5.20
Pavarde86876      Vardas52450       5.00            4.80
Pavarde51060      Vardas92843       5.00            4.60
Pavarde61665      Vardas32670       5.00            5.00
Pavarde3591       Vardas10776       5.00            4.80
Pavarde58649      Vardas5074        5.00            5.00
Pavarde78668      Vardas52218       5.00            4.60
Pavarde37900      Vardas82757       5.00            5.20
Pavarde43268      Vardas24631       5.00            4.80
Pavarde12095      Vardas99517       5.00            5.00
Pavarde57448      Vardas45873       5.00            5.20
Pavarde28476      Vardas1323        5.00            4.80
Pavarde88283      Vardas30720       5.00            4.60
Pavarde32548      Vardas59986       5.00            4.60
Pavarde20866      Vardas36970       5.00            5.20
Pavarde83022      Vardas40091       5.00            5.20
Pavarde68140      Vardas8656        5.00            5.00
Pavarde10760      Vardas56754       5.00            4.60
Pavarde28148      Vardas14378       5.00            5.20
Pavarde16361      Vardas45663       5.00            5.20
Pavarde70144      Vardas31517       5.00            5.20
Pavarde76077      Vardas87490       5.00            4.80
Pavarde58468      Vardas77980       5.00            4.80
Pavarde75957      Vardas78559       5.00            4.80
Pavarde50580      Vardas86221       5.00            4.60
Pavarde37982      Vardas89969       5.00            5.00
Pavarde30581      Vardas49561       5.00            5.00
Pavarde87937      Vardas18719       5.00            5.00
Pavarde97149      Vardas2095        5.00            4.60
Pavarde47469      Vardas21953       5.00            5.00
Pavarde35214      Vardas10094       5.00            4.80
Pavarde86956      Vardas53182       5.00            4.60
Pavarde96416      Vardas47697       5.00            4.80
Pavarde41042      Vardas36251       5.00            5.00
Pavarde19372      Vardas87766       5.00            4.60
Pavarde53644      Vardas3032        5.00            5.00
Pavarde56738      Vardas84972       5.00            4.80
Pavarde36682      Vardas29450       5.00            4.20
Pavarde28591      Vardas14842       5.00            5.20
Pavarde91007      Vardas14090       5.00            4.40
Pavarde20693      Vardas39332       5.00            4.80
Pavarde97204      Vardas77656       5.00            5.00
Pavarde18953      Vardas84815       5.00            4.20
Pavarde51927      Vardas27928       5.00            4.60
Pavarde57522      Vardas92534       5.00            4.20
Pavarde70173      Vardas47225       5.00            5.20
Pavarde3708       Vardas81928       5.00            4.60
Pavarde3670       Vardas27841       5.00            5.20
Pavarde52321      Vardas78397       5.00            5.00
Pavarde86584      Vardas31648       5.00            4.80
Pavarde98312      Vardas80565       5.00            5.20
Pavarde74930      Vardas47939       5.00            5.20
Pavarde63705      Vardas73792       5.00            5.00
Pavarde85108      Vardas20516       5.00            5.00
Pavarde72035      Vardas45862       5.00            5.00
Pavarde48129      Vardas9619        5.00            4.60
Pavarde54506      Vardas10672       5.00            4.60
Pavarde21373      Vardas30014       5.00            5.20
Pavarde12714      Vardas98202       5.00            5.20
Pavarde117        Vardas37736       5.00            4.80
Pavarde11990      Vardas47471       5.00            5.00
Pavarde18805      Vardas39421       5.00            4.60
Pavarde75034      Vardas28905       5.00            5.20
Pavarde51413      Vardas42107       5.00            5.20
Pavarde73473      Vardas36967       5.00            5.00
Pavarde70312      Vardas38978       5.00            5.60
Pavarde31394      Vardas3198        5.00            4.60
Pavarde86640      Vardas34986       5.00            4.80
Pavarde89923      Vardas95434       5.00            5.20
Pavarde24419      Vardas89313       5.00            4.60
Pavarde49514      Vardas72452       5.00            5.20
Pavarde79405      Vardas12608       5.00            4.80
Pavarde82972      Vardas6574        5.00            5.40
Pavarde60936      Vardas67645       5.00            4.60
Pavarde42466      Vardas51799       5.00            4.60
Pavarde99290      Vardas63352       5.00            5.20
Pavarde30872      Vardas61681       5.00            4.60
Pavarde59971      Vardas83675       5.00            4.80
Pavarde63411      Vardas88679       5.00            5.60
Pavarde6869       Vardas1804        5.00            5.00
Pavarde98445      Vardas42348       5.00            5.20
Pavarde65806      Vardas81741       5.00            5.40
Pavarde54054      Vardas70650       5.00            4.80
Pavarde67490      Vardas58482       5.00            4.80
Pavarde59620      Vardas37865       5.00            4.60
Pavarde8623       Vardas86689       5.00            4.60
Pavarde83425      Vardas31845       5.00            4.80
Pavarde48891      Vardas98413       5.00            5.00
Pavarde46153      Vardas94831       5.00            5.00
Pavarde11556      Vardas15543       5.00            4.60
Pavarde7866       Vardas59966       5.00            5.00
Pavarde77244      Vardas87288       5.00            5.00
Pavarde2194       Vardas11829       5.00            5.40
Pavarde20295      Vardas92015       5.00            4.80
Pavarde68751      Vardas36223       5.00            5.00
Pavarde56979      Vardas29314       5.00            4.60
Pavarde33825      Vardas11468       5.00            5.20
Pavarde88513      Vardas50237       5.00            4.80
Pavarde95380      Vardas52891       5.00            4.80
Pavarde66165      Vardas64897       5.00            5.20
Pavarde98941      Vardas96345       5.00            4.60
Pavarde13923      Vardas19232       5.00            5.20
Pavarde27679      Vardas73921       5.00            5.20
Pavarde97545      Vardas70105       5.00            5.00
Pavarde32797      Vardas54410       5.00            4.60
Pavarde66883      Vardas61214       5.00            5.20
Pavarde82057      Vardas35932       5.00            5.20
Pavarde715        Vardas64661       5.00            4.60
Pavarde12916      Vardas41283       5.00            5.20
Pavarde62913      Vardas72037       5.00            4.80
Pavarde67454      Vardas19836       5.00            4.80
Pavarde5288       Vardas27020       5.00            5.00
Pavarde78225      Vardas3087        5.00            5.60
Pavarde29089      Vardas70874       5.00            5.00
Pavarde39159      Vardas94063       5.00            4.60
Pavarde76470      Vardas32392       5.00            4.80
Pavarde94394      Vardas71872       5.00            4.80
Pavarde30307      Vardas83340       5.00            4.80
Pavarde59598      Vardas3538        5.00            5.00
Pavarde97         Vardas50612       5.00            5.00
Pavarde79204      Vardas16850       5.00            5.20
Pavarde44868      Vardas58523       5.00            4.80
Pavarde24283      Vardas21339       5.00            4.60
Pavarde70646      Vardas36634       5.00            5.00
Pavarde14862      Vardas85201       5.00            5.00
Pavarde27097      Vardas12128       5.00            5.60
Pavarde16694      Vardas53588       5.00            5.00
Pavarde35985      Vardas20          5.00            5.20
Pavarde90197      Vardas91174       5.00            5.20
Pavarde93111      Vardas1154        5.00            5.00
Pavarde45288      Vardas42261       5.00            4.40
Pavarde8693       Vardas55676       5.00            5.20
Pavarde93261      Vardas60114       5.00            5.20
Pavarde86606      Vardas70675       5.00            4.60
Pavarde98825      Vardas59347       5.00            4.60
Pavarde2288       Vardas28996       5.00            4.60
Pavarde4866       Vardas89092       5.00            5.40
Pavarde23126      Vardas91366       5.00            5.00
Pavarde61252      Vardas65259       5.00            5.20
Pavarde96213      Vardas26544       5.00            5.00
Pavarde79585      Vardas56924       5.00            5.20
Pavarde28438      Vardas81656       5.00            4.60
Pavarde92336      Vardas63315       5.00            4.20
Pavarde47549      Vardas16848       5.00            4.80
Pavarde51964      Vardas73065       5.00            4.60
Pavarde6966       Vardas12841       5.00            4.60
Pavarde48421      Vardas5448        5.00            5.20
Pavarde91446      Vardas32993       5.00            5.00
Pavarde38123      Vardas58255       5.00            5.20
Pavarde94067      Vardas33618       5.00            5.20
Pavarde33196      Vardas61259       5.00            4.80
Pavarde12281      Vardas47596       5.00            5.60
Pavarde54900      Vardas30135       5.00            4.60
Pavarde2293       Vardas58395       5.00            5.00
Pavarde65452      Vardas46725       5.00            5.60
Pavarde43897      Vardas23827       5.00            4.80
Pavarde4320       Vardas54825       5.00            4.80
Pavarde83357      Vardas34213       5.00            5.00
Pavarde67443      Vardas96409       5.00            5.20
Pavarde14504      Vardas42723       5.00            5.00
Pavarde61290      Vardas66681       5.00            5.20
Pavarde14273      Vardas31341       5.00            4.60
Pavarde72120      Vardas34230       5.00            4.80
Pavarde90775      Vardas5058        5.00            5.40
Pavarde25251      Vardas26218       5.00            4.80
Pavarde62168      Vardas15415       5.00            5.00
Pavarde84267      Vardas53801       5.00            4.60
Pavarde41383      Vardas24779       5.00            5.60
Pavarde31481      Vardas98287       5.00            4.80
Pavarde49557      Vardas85465       5.00            5.20
Pavarde67280      Vardas60767       5.00            5.20
Pavarde17712      Vardas17911       5.00            4.60
Pavarde13239      Vardas90033       5.00            4.60
Pavarde88918      Vardas69438       5.00            5.00
Pavarde7398       Vardas52785       5.00            5.00
Pavarde81219      Vardas24002       5.00            4.80
Pavarde99184      Vardas87586       5.00            5.20
Pavarde25921      Vardas96394       5.00            4.60
Pavarde45927      Vardas50294       5.00            4.80
Pavarde94836      Vardas58990       5.00            4.60
Pavarde85766      Vardas62720       5.00            4.80
Pavarde22509      Vardas75848       5.00            5.20
Pavarde56594      Vardas34164       5.00            4.60
Pavarde42970      Vardas64044       5.00            4.60
Pavarde41321      Vardas15735       5.00            5.00
Pavarde43101      Vardas66359       5.00            4.60
Pavarde12014      Vardas77139       5.00            5.00
Pavarde30601      Vardas33162       5.00            4.80
Pavarde26773      Vardas94925       5.00            5.00
Pavarde7897       Vardas4190        5.00            4.20
Pavarde95702      Vardas61132       5.00            5.60
Pavarde82293      Vardas37348       5.00            5.20
Pavarde96748      Vardas66303       5.00            5.00
Pavarde49489      Vardas8566        5.00            4.60
Pavarde38113      Vardas68215       5.00            5.20
Pavarde26818      Vardas19001       5.00            5.00
Pavarde69235      Vardas16778       5.00            4.80
Pavarde44712      Vardas74743       5.00            4.80
Pavarde94077      Vardas39807       5.00            4.40
Pavarde69221      Vardas39793       5.00            5.00
Pavarde53245      Vardas55715       5.00            5.00
Pavarde75866      Vardas58626       5.00            4.60
Pavarde74629      Vardas56210       5.00            5.00
Pavarde10081      Vardas59205       5.00            5.20
Pavarde79445      Vardas17665       5.00            5.40
Pavarde76269      Vardas88680       5.00            5.20
Pavarde88069      Vardas8217        5.00            5.00
Pavarde40486      Vardas74558       5.00            5.40
Pavarde6383       Vardas72825       5.00            5.00
Pavarde71787      Vardas57418       5.00            5.20
Pavarde79954      Vardas68408       5.00            4.80
Pavarde97098      Vardas86640       5.00            5.20
Pavarde35826      Vardas88088       5.00            5.20
Pavarde50984      Vardas29171       5.00            5.20
Pavarde93253      Vardas7866        5.00            4.60
Pavarde33965      Vardas80175       5.00            4.40
Pavarde81306      Vardas39651       5.00            4.80
Pavarde59498      Vardas31480       5.00            4.60
Pavarde3045       Vardas44871       5.00            4.60
Pavarde5024       Vardas42116       5.00            5.20
Pavarde89157      Vardas1291        5.00            4.80
Pavarde32047      Vardas48490       5.00            5.20
Pavarde20903      Vardas34578       5.00            5.20
Pavarde97019      Vardas34565       5.00            4.60
Pavarde24369      Vardas83964       5.00            5.20
Pavarde89245      Vardas18195       5.00            5.00
Pavarde20351      Vardas73266       5.00            5.00
Pavarde13803      Vardas86719       5.00            5.00
Pavarde28289      Vardas1228        5.00            5.20
Pavarde93101      Vardas58692       5.00            4.80
Pavarde96919      Vardas16875       5.00            5.00
Pavarde32200      Vardas76497       5.00            5.00
Pavarde12369      Vardas32043       5.00            4.60
Pavarde87366      Vardas70449       5.00            5.00
Pavarde95936      Vardas24931       5.00            5.00
Pavarde81777      Vardas38068       5.00            4.80
Pavarde81895      Vardas43406       5.00            4.40
Pavarde73946      Vardas75304       5.00            4.60
Pavarde90843      Vardas4129        5.00            4.80
Pavarde78279      Vardas67551       5.00            4.60
Pavarde42142      Vardas86339       5.00            5.00
Pavarde90956      Vardas81933       5.00            4.60
Pavarde3244       Vardas78400       5.00            4.80
Pavarde99634      Vardas14400       5.00            5.00
Pavarde56444      Vardas26399       5.00            5.00
Pavarde69645      Vardas24620       5.00            4.80
Pavarde23518      Vardas83137       5.00            5.60
Pavarde2679       Vardas78941       5.00            5.00
Pavarde69812      Vardas50378       5.00            5.20
Pavarde93754      Vardas70997       5.00            4.60
Pavarde90933      Vardas30048       5.00            5.00
Pavarde93773      Vardas16184       5.00            4.60
Pavarde80436      Vardas59995       5.00            4.80
Pavarde92957      Vardas95065       5.00            4.80
Pavarde87920      Vardas79755       5.00            5.20
Pavarde76139      Vardas34730       5.00            4.60
Pavarde38276      Vardas92075       5.00            5.20
Pavarde48340      Vardas26392       5.00            4.60
Pavarde56079      Vardas44392       5.00            4.60
Pavarde70841      Vardas97158       5.00            4.60
Pavarde29445      Vardas99215       5.00            4.80
Pavarde27497      Vardas92818       5.00            4.80
Pavarde84804      Vardas47577       5.00            5.00
Pavarde85309      Vardas35421       5.00            5.20
Pavarde41323      Vardas80871       5.00            5.00
Pavarde66107      Vardas79468       5.00            5.00
Pavarde99008      Vardas79125       5.00            5.40
Pavarde43191      Vardas41452       5.00            5.20
Pavarde52618      Vardas53924       5.00            4.40
Pavarde70994      Vardas74494       5.00            4.60
Pavarde16382      Vardas65411       5.00            5.60
Pavarde90270      Vardas80648       5.00            5.20
Pavarde13923      Vardas39635       5.00            5.60
Pavarde19459      Vardas2923        5.00            4.60
Pavarde42726      Vardas64705       5.00            5.20
Pavarde82641      Vardas64904       5.00            4.60
Pavarde69474      Vardas82128       5.00            5.20
Pavarde7408       Vardas98279       5.00            5.00
Pavarde17436      Vardas30555       5.00            4.80
Pavarde93572      Vardas96440       5.00            4.60
Pavarde44341      Vardas83109       5.00            4.60
Pavarde38046      Vardas37816       5.00            4.40
Pavarde90979      Vardas74020       5.00            5.40
Pavarde63324      Vardas47605       5.00            4.60
Pavarde96037      Vardas18850       5.00            4.60
Pavarde60187      Vardas29951       5.00            5.00
Pavarde82255      Vardas35319       5.00            5.00
Pavarde27010      Vardas44932       5.00            4.60
Pavarde25994      Vardas496         5.00            5.20
Pavarde70454      Vardas9912        5.00            5.40
Pavarde39541      Vardas26874       5.00            4.60
Pavarde71781      Vardas28512       5.00            5.20
Pavarde92378      Vardas5766        5.00            4.80
Pavarde25891      Vardas88439       5.00            4.60
Pavarde33991      Vardas60093       5.00            4.80
Pavarde63063      Vardas51336       5.00            4.60
Pavarde96517      Vardas37444       5.00            5.00
Pavarde95902      Vardas81886       5.00            5.00
Pavarde65472      Vardas89970       5.00            4.60
Pavarde45763      Vardas46884       5.00            4.60
Pavarde63603      Vardas67050       5.00            4.20
Pavarde86         Vardas90490       5.00            4.80
Pavarde67249      Vardas84966       5.00            4.80
Pavarde50761      Vardas17693       5.00            5.20
Pavarde69180      Vardas27274       5.00            5.00
Pavarde60220      Vardas69930       5.00            5.40
Pavarde22587      Vardas19310       5.00            5.20
Pavarde55270      Vardas22965       5.00            5.00
Pavarde75580      Vardas19069       5.00            5.40
Pavarde52799      Vardas46260       5.00            4.60
Pavarde71208      Vardas28631       5.00            5.00
Pavarde84250      Vardas12888       5.00            4.60
Pavarde33619      Vardas78949       5.00            4.60
Pavarde89135      Vardas39193       5.00            4.60
Pavarde1627       Vardas57491       5.00            5.00
Pavarde26838      Vardas58908       5.00            5.00
Pavarde68885      Vardas51527       5.00            4.80
Pavarde63657      Vardas55323       5.00            4.80
Pavarde38334      Vardas43308       5.00            4.60
Pavarde39591      Vardas54250       5.00            5.00
Pavarde10452      Vardas50256       5.00            5.00
Pavarde9653       Vardas56099       5.00            5.00
Pavarde64397      Vardas81307       5.00            5.00
Pavarde66658      Vardas21407       5.00            5.00
Pavarde64486      Vardas82443       5.00            5.20
Pavarde82413      Vardas4748        5.00            5.00
Pavarde67278      Vardas98783       5.00            5.20
Pavarde74578      Vardas38175       5.00            5.20
Pavarde73417      Vardas8954        5.00            5.40
Pavarde45057      Vardas11219       5.00            4.80
Pavarde22324      Vardas10623       5.00            5.40
Pavarde9781       Vardas20118       5.00            5.00
Pavarde79674      Vardas81605       5.00            4.20
Pavarde8989       Vardas95233       5.00            4.80
Pavarde64497      Vardas83169       5.00            4.40
Pavarde78826      Vardas6973        5.00            5.20
Pavarde67777      Vardas41971       5.00            5.20
Pavarde21792      Vardas81364       5.00            4.80
Pavarde49172      Vardas99020       5.00            5.20
Pavarde18613      Vardas8945        5.00            5.00
Pavarde60225      Vardas82515       5.00            4.80
Pavarde48601      Vardas71643       5.00            5.00
Pavarde73768      Vardas34581       5.00            4.80
Pavarde24627      Vardas59307       5.00            5.20
Pavarde6160       Vardas84332       5.00            4.80
Pavarde21792      Vardas13895       5.00            5.00
Pavarde36479      Vardas27528       5.00            5.00
Pavarde4106       Vardas35089       5.00            5.20
Pavarde48724      Vardas20752       5.00            5.00
Pavarde62553      Vardas20157       5.00            4.60
Pavarde87655      Vardas53944       5.00            5.00
Pavarde96030      Vardas44341       5.00            4.60
Pavarde56852      Vardas52918       5.00            5.00
Pavarde56332      Vardas67443       5.00            4.60
Pavarde7270       Vardas46924       5.00            5.20
Pavarde39609      Vardas2680        5.00            5.00
Pavarde14391      Vardas18691       5.00            4.80
Pavarde32922      Vardas51656       5.00            4.80
Pavarde71938      Vardas4723        5.00            5.00
Pavarde51070      Vardas27755       5.00            5.60
Pavarde15251      Vardas44092       5.00            5.40
Pavarde67159      Vardas47641       5.00            4.60
Pavarde37139      Vardas46182       5.00            4.80
Pavarde54749      Vardas15492       5.00            5.00
Pavarde90761      Vardas51290       5.00            5.00
Pavarde25075      Vardas94972       5.00            5.00
Pavarde95744      Vardas55188       5.00            5.00
Pavarde20547      Vardas51815       5.00            5.20
Pavarde47009      Vardas93885       5.00            5.00
Pavarde21492      Vardas45871       5.00            5.20
Pavarde62877      Vardas689         5.00            5.20
Pavarde49537      Vardas81163       5.00            5.20
Pavarde81715      Vardas14155       5.00            4.80
Pavarde4268       Vardas36784       5.00            4.60
Pavarde62436      Vardas94034       5.00            5.00
Pavarde4346       Vardas42146       5.00            4.60
Pavarde7566       Vardas29073       5.00            5.00
Pavarde64214      Vardas71692       5.00            5.00
Pavarde2257       Vardas19999       5.00            5.00
Pavarde24373      Vardas67310       5.00            5.00
Pavarde49731      Vardas53626       5.00            5.20
Pavarde48326      Vardas86149       5.00            4.80
Pavarde13418      Vardas24486       5.00            5.00
Pavarde99026      Vardas47786       5.00            5.00
Pavarde95542      Vardas50142       5.00            5.00
Pavarde57879      Vardas66473       5.00            4.60
Pavarde47253      Vardas64229       5.00            4.80
Pavarde61466      Vardas62124       5.00            5.20
Pavarde52730      Vardas55376       5.00            4.80
Pavarde47973      Vardas55839       5.00            5.20
Pavarde55289      Vardas75499       5.00            4.20
Pavarde1755       Vardas85409       5.00            4.60
Pavarde44074      Vardas12600       5.00            4.20
Pavarde36817      Vardas33585       5.00            4.80
Pavarde65115      Vardas90107       5.00            4.40
Pavarde75984      Vardas23157       5.00            5.20
Pavarde93528      Vardas93893       5.00            4.80
Pavarde2218       Vardas63667       5.00            5.20
Pavarde18511      Vardas51893       5.00            4.60
Pavarde48270      Vardas52186       5.00            4.60
Pavarde2236       Vardas59924       5.00            4.80
Pavarde43800      Vardas71940       5.00            5.00
Pavarde59875      Vardas9530        5.00            5.00
Pavarde89221      Vardas89960       5.00            5.20
Pavarde61080      Vardas23632       5.00            4.60
Pavarde94958      Vardas42091       5.00            4.60
Pavarde73755      Vardas61071       5.00            5.00
Pavarde28252      Vardas51518       5.00            5.00
Pavarde31584      Vardas85327       5.00            4.60
Pavarde79827      Vardas23116       5.00            4.60
Pavarde98749      Vardas95887       5.00            4.40
Pavarde31390      Vardas64823       5.00            5.00
Pavarde13156      Vardas46811       5.00            5.20
Pavarde37138      Vardas71785       5.00            5.00
Pavarde50537      Vardas7495        5.00            5.00
Pavarde20215      Vardas68565       5.00            4.60
Pavarde62579      Vardas71549       5.00            5.00
Pavarde69575      Vardas99360       5.00            4.80
Pavarde87533      Vardas80106       5.00            5.60
Pavarde28351      Vardas64448       5.00            4.80
Pavarde94638      Vardas93346       5.00            5.00
Pavarde13989      Vardas29068       5.00            5.00
Pavarde72360      Vardas47808       5.00            4.60
Pavarde58679      Vardas19854       5.00            5.20
Pavarde42488      Vardas25642       5.00            4.60
Pavarde64083      Vardas8513        5.00            5.00
Pavarde19161      Vardas17031       5.00            5.00
Pavarde9302       Vardas83398       5.00            4.60
Pavarde13736      Vardas5743        5.00            4.60
Pavarde28917      Vardas27063       5.00            5.20
Pavarde26443      Vardas48650       5.00            4.60
Pavarde45339      Vardas20293       5.00            5.20
Pavarde81900      Vardas16428       5.00            4.20
Pavarde71340      Vardas91893       5.00            5.00
Pavarde92271      Vardas41234       5.00            4.60
Pavarde70004      Vardas2040        5.00            5.00
Pavarde82000      Vardas93779       5.00            4.60
Pavarde17601      Vardas77942       5.00            5.20
Pavarde19149      Vardas41670       5.00            5.20
Pavarde67006      Vardas40918       5.00            4.60
Pavarde159        Vardas4993        5.00            4.80
Pavarde49797      Vardas75296       5.00            4.60
Pavarde24138      Vardas18316       5.00            4.60
Pavarde80393      Vardas64017       5.00            5.20
Pavarde63980      Vardas16242       5.00            5.00
Pavarde12105      Vardas92603       5.00            4.60
Pavarde3412       Vardas6344        5.00            5.20
Pavarde37062      Vardas34020       5.00            4.60
Pavarde67161      Vardas24335       5.00            5.00
Pavarde17859      Vardas83327       5.00            4.60
Pavarde8460       Vardas23587       5.00            5.60
Pavarde19498      Vardas24373       5.00            5.20
Pavarde48412      Vardas81473       5.00            4.80
Pavarde6938       Vardas96482       5.00            5.00
Pavarde6067       Vardas14442       5.00            4.80
Pavarde66467      Vardas87686       5.00            5.20
Pavarde93845      Vardas89508       5.00            5.20
Pavarde64549      Vardas66801       5.00            4.80
Pavarde79084      Vardas26019       5.00            4.80
Pavarde31492      Vardas66906       5.00            5.00
Pavarde28884      Vardas27593       5.00            5.60
Pavarde17384      Vardas75152       5.00            4.60
Pavarde11367      Vardas52565       5.00            5.00
Pavarde33768      Vardas10701       5.00            4.60
Pavarde41324      Vardas23214       5.00            5.00
Pavarde73631      Vardas89560       5.00            4.80
Pavarde68203      Vardas7097        5.00            5.00
Pavarde27813      Vardas89760       5.00            4.80
Pavarde99140      Vardas86075       5.00            4.80
Pavarde29106      Vardas91170       5.00            4.80
Pavarde97890      Vardas54462       5.00            5.20
Pavarde98695      Vardas6111        5.00            4.60
Pavarde81613      Vardas3034        5.00            5.20
Pavarde40773      Vardas56791       5.00            4.80
Pavarde28639      Vardas58730       5.00            5.00
Pavarde95190      Vardas6587        5.00            5.20
Pavarde32634      Vardas55559       5.00            4.60
Pavarde96715      Vardas27692       5.00            5.00
Pavarde75632      Vardas44316       5.00            4.80
Pavarde57166      Vardas91362       5.00            5.00
Pavarde25721      Vardas80394       5.00            4.80
Pavarde23213      Vardas98851       5.00            5.00
Pavarde30347      Vardas37274       5.00            4.60
Pavarde13263      Vardas29151       5.00            4.60
Pavarde32741      Vardas23327       5.00            5.00
Pavarde94142      Vardas24473       5.00            4.80
Pavarde7547       Vardas81559       5.00            4.60
Pavarde80730      Vardas90745       5.00            5.20
Pavarde40062      Vardas96276       5.00            4.60
Pavarde78500      Vardas59887       5.00            4.80
